# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.526769391237e-02       1.983166222838e+04 
       1.540961503617e-02       1.981415622371e+04 
       1.555157430661e-02       1.979517065192e+04 
       1.569357198533e-02       1.977473864928e+04 
       1.583560835612e-02       1.975288922828e+04 
       1.597768372471e-02       1.972965256703e+04 
       1.611979841861e-02       1.970505630995e+04 
       1.626195278690e-02       1.967913072641e+04 
       1.640414720020e-02       1.965190260628e+04 
       1.654638205052e-02       1.962339732691e+04 
       1.668865775120e-02       1.959364410769e+04 
       1.683097473691e-02       1.956266839206e+04 
       1.697333346354e-02       1.953049617376e+04 
       1.711573440830e-02       1.949715034358e+04 
       1.725817806968e-02       1.946265779105e+04 
       1.740066496752e-02       1.942704069169e+04 
       1.754319564307e-02       1.939032611978e+04 
       1.768577065907e-02       1.935253324178e+04 
       1.782839059988e-02       1.931368620475e+04 
       1.797105607156e-02       1.927380770676e+04 
       1.811376770207e-02       1.923291917341e+04 
       1.825652614137e-02       1.919104246326e+04 
       1.839933206167e-02       1.914819951035e+04 
       1.854218615755e-02       1.910440927131e+04 
       1.868508914623e-02       1.905969436487e+04 
       1.882804176781e-02       1.901407264560e+04 
       1.897104478548e-02       1.896756540615e+04 
       1.911409898580e-02       1.892019035353e+04 
       1.925720517901e-02       1.887196717923e+04 
       1.940036419931e-02       1.882291690677e+04 
       1.954357690519e-02       1.877305574010e+04 
       1.968684417975e-02       1.872240423236e+04 
       1.983016693109e-02       1.867097790439e+04 
       1.997354609263e-02       1.861879610812e+04 
       2.011698262353e-02       1.856587600736e+04 
       2.026047750912e-02       1.851223641420e+04 
       2.040403176127e-02       1.845789248976e+04 
       2.054764641886e-02       1.840286361085e+04 
       2.069132254824e-02       1.834716605939e+04 
       2.083506124371e-02       1.829081765614e+04 
       2.097886362800e-02       1.823383358885e+04 
       2.112273085280e-02       1.817623105534e+04 
       2.126666409929e-02       1.811802599723e+04 
       2.141066457868e-02       1.805923620905e+04 
       2.155473353281e-02       1.799987800509e+04 
       2.169887223469e-02       1.793996424497e+04 
       2.184308198920e-02       1.787951539446e+04 
       2.198736413362e-02       1.781854473443e+04 
       2.213172003837e-02       1.775706962500e+04 
       2.227615110763e-02       1.769510500901e+04 
       2.242065878006e-02       1.763266569427e+04 
       2.256524452953e-02       1.756976646707e+04 
       2.270990986584e-02       1.750642929236e+04 
       2.285465633551e-02       1.744266013594e+04 
       2.299948552257e-02       1.737848101020e+04 
       2.314439904934e-02       1.731390407778e+04 
       2.328939857733e-02       1.724894463212e+04 
       2.343448580806e-02       1.718361650354e+04 
       2.357966248400e-02       1.711793660857e+04 
       2.372493038945e-02       1.705191890945e+04 
       2.387029135151e-02       1.698557595507e+04 
       2.401574724107e-02       1.691892221255e+04 
       2.416129997382e-02       1.685197370194e+04 
       2.430695151128e-02       1.678474071576e+04 
       2.445270386188e-02       1.671723976997e+04 
       2.459855908209e-02       1.664948524219e+04 
       2.474451927753e-02       1.658148619500e+04 
       2.489058660417e-02       1.651325709757e+04 
       2.503676326952e-02       1.644481131078e+04 
       2.518305153391e-02       1.637616175447e+04 
       2.532945371179e-02       1.630731942486e+04 
       2.547597217300e-02       1.623829696950e+04 
       2.562260934423e-02       1.616910560895e+04 
       2.576936771034e-02       1.609975660123e+04 
       2.591624981590e-02       1.603026196156e+04 
       2.606325826667e-02       1.596062971589e+04 
       2.621039573111e-02       1.589087580296e+04 
       2.635766494206e-02       1.582100571881e+04 
       2.650506869833e-02       1.575103074338e+04 
       2.665260986643e-02       1.568096240525e+04 
       2.680029138234e-02       1.561080851325e+04 
       2.694811625331e-02       1.554057772312e+04 
       2.709608755975e-02       1.547028019707e+04 
       2.724420845716e-02       1.539992530714e+04 
       2.739248217811e-02       1.532952013010e+04 
       2.754091203436e-02       1.525907202805e+04 
       2.768950141894e-02       1.518859199574e+04 
       2.783825380839e-02       1.511808438034e+04 
       2.798717276503e-02       1.504755832495e+04 
       2.813626193929e-02       1.497701992325e+04 
       2.828552507219e-02       1.490647933695e+04 
       2.843496599782e-02       1.483593990207e+04 
       2.858458864595e-02       1.476540919053e+04 
       2.873439704477e-02       1.469489428237e+04 
       2.888439532357e-02       1.462439890271e+04 
       2.903458771576e-02       1.455393347867e+04 
       2.918497856172e-02       1.448349937616e+04 
       2.933557231199e-02       1.441310321864e+04 
       2.948637353041e-02       1.434275327534e+04 
       2.963738689745e-02       1.427245107257e+04 
       2.978861721366e-02       1.420220451572e+04 
       2.994006940319e-02       1.413201767091e+04 
       3.009174851749e-02       1.406189615820e+04 
       3.024365973913e-02       1.399183965047e+04 
       3.039580838579e-02       1.392186052877e+04 
       3.054819991431e-02       1.385195896815e+04 
       3.070083992499e-02       1.378214457156e+04 
       3.085373416602e-02       1.371241170346e+04 
       3.100688853805e-02       1.364276981389e+04 
       3.116030909896e-02       1.357322118780e+04 
       3.131400206883e-02       1.350378092608e+04 
       3.146797383506e-02       1.343443822543e+04 
       3.162223095773e-02       1.336520409873e+04 
       3.177678017517e-02       1.329608105873e+04 
       3.193162840970e-02       1.322707348953e+04 
       3.208678277367e-02       1.315818589586e+04 
       3.224225057573e-02       1.308941865395e+04 
       3.239803932729e-02       1.302077446385e+04 
       3.255415674933e-02       1.295226555390e+04 
       3.271061077945e-02       1.288389213246e+04 
       3.286740957923e-02       1.281564291243e+04 
       3.302456154187e-02       1.274753915977e+04 
       3.318207530021e-02       1.267957623394e+04 
       3.333995973504e-02       1.261178155063e+04 
       3.349822398379e-02       1.254409347767e+04 
       3.365687744962e-02       1.247657755576e+04 
       3.381592981088e-02       1.240920358309e+04 
       3.397539103097e-02       1.234201242442e+04 
       3.413527136875e-02       1.227497137188e+04 
       3.429558138925e-02       1.220809220426e+04 
       3.445633197505e-02       1.214137775769e+04 
       3.461753433803e-02       1.207483414286e+04 
       3.477920003175e-02       1.200845462470e+04 
       3.494134096444e-02       1.194225338290e+04 
       3.510396941249e-02       1.187622561643e+04 
       3.526709803469e-02       1.181037605360e+04 
       3.543073988712e-02       1.174470619833e+04 
       3.559490843876e-02       1.167921634039e+04 
       3.575961758788e-02       1.161391107311e+04 
       3.592488167924e-02       1.154879029348e+04 
       3.609071552216e-02       1.148385832061e+04 
       3.625713440948e-02       1.141911227448e+04 
       3.642415413751e-02       1.135455702769e+04 
       3.659179102706e-02       1.129019345576e+04 
       3.676006194546e-02       1.122602212723e+04 
