# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.759345567745e-10       6.981847141033e-15       2.292511029960e-13       4.357760407307e-17       6.939480168714e-11       7.437607416739e-12      -7.879169122367e-15 
   41       1.789138127834e-10       7.589315122982e-15       2.206991181473e-13       4.579739702873e-17       6.577523748416e-11       7.114029971661e-12      -6.754554462451e-15 
   42       1.819177839807e-10       8.230010786229e-15       2.106975691084e-13       4.807344710203e-17       6.240546141466e-11       6.812383774589e-12      -5.720442923998e-15 
   43       1.849374836687e-10       8.904361777793e-15       1.992995520471e-13       5.040580101201e-17       5.924744965820e-11       6.525283473700e-12      -5.130385161060e-15 
   44       1.879779034299e-10       9.613071787663e-15       1.864941238775e-13       5.279451831324e-17       5.629549266037e-11       6.252181277031e-12      -4.995838874147e-15 
   45       1.910467550735e-10       1.035691911774e-14       1.722531655150e-13       5.523966437637e-17       5.354587720746e-11       5.993975452809e-12      -5.214731357107e-15 
   46       1.941500447162e-10       1.113667990874e-14       1.565492257071e-13       5.774130800392e-17       5.098482846473e-11       5.750917117979e-12      -5.657704328114e-15 
   47       1.972918667101e-10       1.195312836168e-14       1.393554411030e-13       6.029952190904e-17       4.858773022743e-11       5.522554204750e-12      -6.166456642001e-15 
   48       2.004742062535e-10       1.280694363128e-14       1.206427259683e-13       6.291437967215e-17       4.632654098895e-11       5.307995692430e-12      -6.589369990559e-15 
   49       2.036967622604e-10       1.369839895375e-14       1.003705910712e-13       6.558594447898e-17       4.419633358233e-11       5.106923124937e-12      -6.904128241415e-15 
   50       2.069567205050e-10       1.462758526848e-14       7.849359942338e-14       6.831427803052e-17       4.219489704249e-11       4.918767955924e-12      -7.126815583098e-15 
   51       2.102485400113e-10       1.559449246680e-14       5.496365683568e-14       7.109944407973e-17       4.031484127109e-11       4.742377461861e-12      -7.277890248665e-15 
   52       2.135637474237e-10       1.659900485180e-14       2.972979268385e-14       7.394150873063e-17       3.854323544151e-11       4.575975048650e-12      -7.382429421306e-15 
   53       2.168939891057e-10       1.764101616334e-14       2.744002423160e-15       7.684053025275e-17       3.686556568005e-11       4.417653066936e-12      -7.466339202600e-15 
   54       2.202415821594e-10       1.872081982845e-14      -2.601895643710e-14       7.979652476118e-17       3.527963523220e-11       4.267091402187e-12      -7.543276611805e-15 
   55       2.236113181432e-10       1.983881114821e-14      -5.657665200886e-14       8.280949223261e-17       3.378460841635e-11       4.124211627870e-12      -7.624791507572e-15 
   56       2.270073753434e-10       2.099537697886e-14      -8.894456006483e-14       8.587942608014e-17       3.237682778226e-11       3.988666203726e-12      -7.724141186535e-15 
   57       2.304332497379e-10       2.219089620482e-14      -1.231360291115e-13       8.900631301273e-17       3.104963361774e-11       3.859821109792e-12      -7.856366109149e-15 
   58       2.338916859592e-10       2.342574021181e-14      -1.591622454620e-13       9.219013289470e-17       2.979318345534e-11       3.736738480416e-12      -8.038365625523e-15 
   59       2.373846306698e-10       2.470018816554e-14      -1.970295240615e-13       9.543085200009e-17       2.859710566221e-11       3.618460652586e-12      -8.282674376466e-15 
   60       2.409132368403e-10       2.601414879807e-14      -2.367305255967e-13       9.872840126576e-17       2.745958976114e-11       3.504978782351e-12      -8.576931753459e-15 
   61       2.444777384539e-10       2.736737473325e-14      -2.782509343843e-13       1.020826927307e-16       2.638009190819e-11       3.396458877839e-12      -8.899769997416e-15 
   62       2.480773612985e-10       2.875953963471e-14      -3.215718302671e-13       1.054936253400e-16       2.535660372460e-11       3.292953160389e-12      -9.226559316834e-15 
   63       2.517102546898e-10       3.019023579101e-14      -3.666695630342e-13       1.089610845804e-16       2.438556787402e-11       3.194392916009e-12      -9.529270077192e-15 
   64       2.553734231940e-10       3.165897170076e-14      -4.135156268418e-13       1.124849421162e-16       2.346179363990e-11       3.100581346828e-12      -9.776334990359e-15 
   65       2.590638711888e-10       3.316518736969e-14      -4.620836490726e-13       1.160650678713e-16       2.257985489338e-11       3.011258155136e-12      -9.940123123619e-15 
