# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.758555135864e-10       6.938395782013e-15       2.294063819529e-13       0.000000000000e+00       6.939480168714e-11       7.437607416739e-12      -7.879169122367e-15 
   41       1.788314323917e-10       7.543686881278e-15       2.208664966931e-13       0.000000000000e+00       6.577523748416e-11       7.114029971661e-12      -6.754554462451e-15 
   42       1.818320296395e-10       8.182155491658e-15       2.108774813654e-13       0.000000000000e+00       6.240546141466e-11       6.812383774589e-12      -5.720442923998e-15 
   43       1.848483216089e-10       8.854229596132e-15       1.994924067022e-13       0.000000000000e+00       5.924744965820e-11       6.525283473700e-12      -5.130385161060e-15 
   44       1.878853020001e-10       9.560613313681e-15       1.867002999338e-13       0.000000000000e+00       5.629549266037e-11       6.252181277031e-12      -4.995838874147e-15 
   45       1.909506844585e-10       1.030208541565e-14       1.724730080275e-13       0.000000000000e+00       5.354587720746e-11       5.993975452809e-12      -5.214731357107e-15 
   46       1.940504768749e-10       1.107942253253e-14       1.567830414125e-13       0.000000000000e+00       5.098482846473e-11       5.750917117979e-12      -5.657704328114e-15 
   47       1.971887753091e-10       1.189339937547e-14       1.396034938868e-13       0.000000000000e+00       4.858773022743e-11       5.522554204750e-12      -6.166456642001e-15 
   48       2.003675664430e-10       1.274469568380e-14       1.209052324811e-13       0.000000000000e+00       4.632654098895e-11       5.307995692430e-12      -6.589369990559e-15 
   49       2.035865499353e-10       1.363358553335e-14       1.006477172248e-13       0.000000000000e+00       4.419633358233e-11       5.106923124937e-12      -6.904128241415e-15 
   50       2.068429119294e-10       1.456016082848e-14       7.878545597542e-14       0.000000000000e+00       4.219489704249e-11       4.918767955924e-12      -7.126815583098e-15 
   51       2.101311115732e-10       1.552441250376e-14       5.527029454077e-14       0.000000000000e+00       4.031484127109e-11       4.742377461861e-12      -7.277890248665e-15 
   52       2.134426753785e-10       1.652622598660e-14       3.005119729783e-14       0.000000000000e+00       3.854323544151e-11       4.575975048650e-12      -7.382429421306e-15 
   53       2.167692494742e-10       1.756549626243e-14       3.080090708751e-15       0.000000000000e+00       3.686556568005e-11       4.417653066936e-12      -7.466339202600e-15 
   54       2.201131511613e-10       1.864251825157e-14      -2.566833706031e-14       0.000000000000e+00       3.527963523220e-11       4.267091402187e-12      -7.543276611805e-15 
   55       2.234791722127e-10       1.975768890696e-14      -5.621172677740e-14       0.000000000000e+00       3.378460841635e-11       4.124211627870e-12      -7.624791507572e-15 
   56       2.268714909873e-10       2.091139686485e-14      -8.856563134678e-14       0.000000000000e+00       3.237682778226e-11       3.988666203726e-12      -7.724141186535e-15 
   57       2.302936033885e-10       2.210402292218e-14      -1.227434809805e-13       0.000000000000e+00       3.104963361774e-11       3.859821109792e-12      -7.856366109149e-15 
   58       2.337482538233e-10       2.333594051396e-14      -1.587565483701e-13       0.000000000000e+00       2.979318345534e-11       3.736738480416e-12      -8.038365625523e-15 
   59       2.372373889480e-10       2.460743093670e-14      -1.966112378004e-13       0.000000000000e+00       2.859710566221e-11       3.618460652586e-12      -8.282674376466e-15 
   60       2.407621631685e-10       2.591840494409e-14      -2.363002964378e-13       0.000000000000e+00       2.745958976114e-11       3.504978782351e-12      -8.576931753459e-15 
   61       2.443228123991e-10       2.726861722635e-14      -2.778094968602e-13       0.000000000000e+00       2.638009190819e-11       3.396458877839e-12      -8.899769997416e-15 
   62       2.479185645131e-10       2.865774361625e-14      -3.211200106802e-13       0.000000000000e+00       2.535660372460e-11       3.292953160389e-12      -9.226559316834e-15 
   63       2.515475710732e-10       3.008537867648e-14      -3.662082830028e-13       0.000000000000e+00       2.438556787402e-11       3.194392916009e-12      -9.529270077192e-15 
   64       2.552068390636e-10       3.155103328717e-14      -4.130459068836e-13       0.000000000000e+00       2.346179363990e-11       3.100581346828e-12      -9.776334990359e-15 
   65       2.588933755902e-10       3.305414976813e-14      -4.616066106648e-13       0.000000000000e+00       2.257985489338e-11       3.011258155136e-12      -9.940123123619e-15 
   66       2.626080570994e-10       3.459415638734e-14      -5.118892219317e-13       0.000000000000e+00       2.173881773861e-11       2.926325249864e-12      -1.002151122665e-14 
   67       2.663524599773e-10       3.617042011786e-14      -5.638993568766e-13       0.000000000000e+00       2.093836614594e-11       2.845656203383e-12      -1.003028521281e-14 
   68       2.701276861885e-10       3.778222823538e-14      -6.176428086067e-13       0.000000000000e+00       2.017736575485e-11       2.769023690862e-12      -9.978061220768e-15 
   69       2.739343289364e-10       3.942878639615e-14      -6.731256205636e-13       0.000000000000e+00       1.945382091671e-11       2.696094348225e-12      -9.878360721866e-15 
   70       2.777724383236e-10       4.110921671488e-14      -7.303541599429e-13       0.000000000000e+00       1.876483173758e-11       2.626423630114e-12      -9.746685627602e-15 
   71       2.816414870125e-10       4.282255584266e-14      -7.893351911134e-13       0.000000000000e+00       1.810655112097e-11       2.559450667841e-12      -9.600593397049e-15 
   72       2.855408648508e-10       4.456782854726e-14      -8.500703826716e-13       0.000000000000e+00       1.747515447953e-11       2.494638227441e-12      -9.456142241730e-15 
   73       2.894715489755e-10       4.634428907645e-14      -9.125384447972e-13       0.000000000000e+00       1.687005982200e-11       2.431935112364e-12      -9.316269880378e-15 
   74       2.934346937207e-10       4.815122286652e-14      -9.767096798801e-13       0.000000000000e+00       1.629125100915e-11       2.371393639730e-12      -9.180309431746e-15 
   75       2.974311081732e-10       4.998787495006e-14      -1.042551192331e-12       0.000000000000e+00       1.573830035134e-11       2.313030606462e-12      -9.047414032574e-15 
   76       3.014612339095e-10       5.185344975764e-14      -1.110026834916e-12       0.000000000000e+00       1.521034877158e-11       2.256825460034e-12      -8.916549070541e-15 
   77       3.055251227329e-10       5.374711091955e-14      -1.179097155086e-12       0.000000000000e+00       1.470608596864e-11       2.202718469212e-12      -8.786484417207e-15 
   78       3.096224144111e-10       5.566798106746e-14      -1.249719341315e-12       0.000000000000e+00       1.422373058008e-11       2.150608894808e-12      -8.655786660964e-15 
   79       3.137523144134e-10       5.761514163620e-14      -1.321847169432e-12       0.000000000000e+00       1.376101034536e-11       2.100353160417e-12      -8.522811339978e-15 
   80       3.179140025207e-10       5.958759996342e-14      -1.395434559303e-12       0.000000000000e+00       1.331571531219e-11       2.051804896005e-12      -8.386287550435e-15 
   81       3.221079893561e-10       6.158418444489e-14      -1.470447074293e-12       0.000000000000e+00       1.288751173817e-11       2.004947101724e-12      -8.247205780453e-15 
   82       3.263349558996e-10       6.360363072402e-14      -1.546852330249e-12       0.000000000000e+00       1.247640846449e-11       1.959779704585e-12      -8.107245284941e-15 
   83       3.305953294765e-10       6.564461198516e-14      -1.624616575522e-12       0.000000000000e+00       1.208220276916e-11       1.916278686666e-12      -7.968213983424e-15 
   84       3.348892694733e-10       6.770573814974e-14      -1.703704704153e-12       0.000000000000e+00       1.170447114205e-11       1.874395031275e-12      -7.832051662907e-15 
   85       3.392166530546e-10       6.978555507237e-14      -1.784080269069e-12       0.000000000000e+00       1.134256005982e-11       1.834053669126e-12      -7.700833180730e-15 
