# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.700164294370e-10       6.465381966053e-15       2.064507886139e-13       3.814723130697e-17       6.595371479065e-11       7.288902144837e-12      -7.222282335234e-15 
   41       1.728924333666e-10       7.026181762526e-15       1.971857093470e-13       4.008953232174e-17       6.249807576552e-11       6.978299120357e-12      -6.142399525743e-15 
   42       1.757971373750e-10       7.617382284211e-15       1.864965468939e-13       4.208105043378e-17       5.928222119336e-11       6.688561327288e-12      -5.148622265893e-15 
   43       1.787217931560e-10       8.239308520077e-15       1.744361462360e-13       4.412183263625e-17       5.626955575707e-11       6.412609361080e-12      -4.581465720233e-15 
   44       1.816710952324e-10       8.892584963635e-15       1.609958994728e-13       4.621193294143e-17       5.345449415271e-11       6.149930201186e-12      -4.452510671436e-15 
   45       1.846522673818e-10       9.577919751209e-15       1.461508237212e-13       4.835140892494e-17       5.083338537855e-11       5.901399779842e-12      -4.664260864622e-15 
   46       1.876707677728e-10       1.029602253662e-14       1.298767255634e-13       5.054032063550e-17       4.839295022110e-11       5.667272820007e-12      -5.093107799096e-15 
   47       1.907300821288e-10       1.104760496773e-14       1.121501248354e-13       5.277873096582e-17       4.610953571568e-11       5.447128927784e-12      -5.587744237613e-15 
   48       1.938316488956e-10       1.183328756817e-14       9.294553435835e-14       5.506670254405e-17       4.395621873999e-11       5.240124797747e-12      -6.003145252718e-15 
   49       1.969750924178e-10       1.265328823087e-14       7.222657020366e-14       5.740428650655e-17       4.192822425119e-11       5.045960681761e-12      -6.317540192897e-15 
   50       2.001577001237e-10       1.350764673344e-14       4.995220457981e-14       5.979153119747e-17       4.002339121826e-11       4.864093736608e-12      -6.545687912219e-15 
   51       2.033741010851e-10       1.439630647361e-14       2.607898518299e-14       6.222848556057e-17       3.823461248668e-11       4.693418350008e-12      -6.706410640707e-15 
   52       2.066160659151e-10       1.531911017050e-14       5.608240842630e-16       6.471519933250e-17       3.654948970502e-11       4.532227851042e-12      -6.822822163863e-15 
   53       2.098754422223e-10       1.627590997569e-14      -2.664547742186e-14       6.725171537881e-17       3.495411579348e-11       4.378691488530e-12      -6.918861792411e-15 
   54       2.131543077563e-10       1.726694094239e-14      -5.556150043504e-14       6.983804394297e-17       3.344635854679e-11       4.232517497938e-12      -7.007324679326e-15 
   55       2.164570793232e-10       1.829253609924e-14      -8.620148890134e-14       7.247418211262e-17       3.202539140122e-11       4.093650946985e-12      -7.099151268644e-15 
   56       2.197875386713e-10       1.935302093374e-14      -1.185776353082e-13       7.516012096442e-17       3.068769674117e-11       3.961779590556e-12      -7.206923727673e-15 
   57       2.231487638596e-10       2.044871389070e-14      -1.527000512959e-13       7.789584542795e-17       2.942689388833e-11       3.836317185651e-12      -7.344939233021e-15 
   58       2.265430606268e-10       2.157992687055e-14      -1.885767382687e-13       8.068133414959e-17       2.823356709077e-11       3.716386806335e-12      -7.529283256636e-15 
   59       2.299719711303e-10       2.274688397969e-14      -2.262108700187e-13       8.351655564105e-17       2.709779835125e-11       3.601088882305e-12      -7.771892323864e-15 
   60       2.334364584095e-10       2.394945461565e-14      -2.655919704283e-13       8.640145598954e-17       2.601784344947e-11       3.490415897856e-12      -8.060965741864e-15 
   61       2.369366435404e-10       2.518735916700e-14      -3.067026313859e-13       8.933596804793e-17       2.499317032652e-11       3.384521002312e-12      -8.376126329597e-15 
   62       2.404716673703e-10       2.646024308494e-14      -3.495209025865e-13       9.232001464255e-17       2.402185271870e-11       3.283445073716e-12      -8.693903179042e-15 
   63       2.440396245093e-10       2.776767461061e-14      -3.940201710248e-13       9.535350831113e-17       2.310048983616e-11       3.187109685432e-12      -8.987601194515e-15 
   64       2.476374973212e-10       2.910914250232e-14      -4.401690404879e-13       9.843635104079e-17       2.222412604143e-11       3.095310072742e-12      -9.227170631995e-15 
   65       2.512622601499e-10       3.048407299741e-14      -4.879381880553e-13       1.015684451305e-16       2.138758255549e-11       3.007782362208e-12      -9.386334823252e-15 
   66       2.549146120714e-10       3.189188997819e-14      -5.373228920278e-13       1.047497290408e-16       2.058996079457e-11       2.924437606620e-12      -9.466020899680e-15 
   67       2.585959190130e-10       3.333196352301e-14      -5.883250737040e-13       1.079801486907e-16       1.983095199823e-11       2.845164888200e-12      -9.475672741668e-15 
   68       2.623070806221e-10       3.480359009370e-14      -6.409468146235e-13       1.112596470508e-16       1.910946929689e-11       2.769756565863e-12      -9.426501865483e-15 
   69       2.660484969905e-10       3.630599080080e-14      -6.951904312217e-13       1.145881641929e-16       1.842360688771e-11       2.697903319100e-12      -9.331559988745e-15 
   70       2.698200353805e-10       3.783830966891e-14      -7.510585494837e-13       1.179656373390e-16       1.777059921042e-11       2.629189191851e-12      -9.205811595898e-15 
   71       2.736209969495e-10       3.939961190192e-14      -8.085541795981e-13       1.213920009105e-16       1.714678012320e-11       2.563086636388e-12      -9.066206503682e-15 
   72       2.774506050630e-10       4.098895174532e-14      -8.676753858905e-13       1.248672078289e-16       1.654850556954e-11       2.499089041401e-12      -8.928245119778e-15 
   73       2.813096526921e-10       4.260559500846e-14      -9.283979462652e-13       1.283912980438e-16       1.597521733619e-11       2.437148780573e-12      -8.794749686292e-15 
   74       2.851991125735e-10       4.424883631938e-14      -9.906894836582e-13       1.319643433088e-16       1.542689634585e-11       2.377314682402e-12      -8.665058779072e-15 
   75       2.891196226366e-10       4.591793316912e-14      -1.054514527925e-12       1.355864276208e-16       1.490313276694e-11       2.319600209843e-12      -8.538336257900e-15 
   76       2.930714646370e-10       4.761210576598e-14      -1.119834467099e-12       1.392576477539e-16       1.440310718697e-11       2.263981643095e-12      -8.413563756469e-15 
   77       2.970545427906e-10       4.933053688978e-14      -1.186607498649e-12       1.429781137943e-16       1.392557178587e-11       2.210396262385e-12      -8.289533172351e-15 
   78       3.010683624064e-10       5.107237174609e-14      -1.254788580742e-12       1.467479496740e-16       1.346883150942e-11       2.158740530760e-12      -8.164839156978e-15 
   79       3.051120085207e-10       5.283671782052e-14      -1.324329383496e-12       1.505672937057e-16       1.303072524255e-11       2.108868276870e-12      -8.037871605609e-15 
   80       3.091845444309e-10       5.462261527033e-14      -1.395181779886e-12       1.544362990546e-16       1.260915132637e-11       2.060631851874e-12      -7.907380232181e-15 
   81       3.132863340111e-10       5.642894249822e-14      -1.467309123862e-12       1.583551340738e-16       1.220379063107e-11       2.014017829405e-12      -7.774297730885e-15 
   82       3.174179111086e-10       5.825449383709e-14      -1.540676851049e-12       1.623239830029e-16       1.181464975489e-11       1.969031665062e-12      -7.640221008592e-15 
   83       3.215795666582e-10       6.009800687545e-14      -1.615249129613e-12       1.663430465604e-16       1.144153464754e-11       1.925655809808e-12      -7.506870258652e-15 
   84       3.257713350924e-10       6.195816176607e-14      -1.690988877075e-12       1.704125424768e-16       1.108404186392e-11       1.883848688580e-12      -7.376092045032e-15 
   85       3.299929807503e-10       6.383358053467e-14      -1.767857777110e-12       1.745327060281e-16       1.074154981799e-11       1.843543678887e-12      -7.249862386453e-15 
   86       3.342439842877e-10       6.572282638851e-14      -1.845816296362e-12       1.787037905687e-16       1.041321003654e-11       1.804648089416e-12      -7.130289840528e-15 
   87       3.385235290860e-10       6.762440302511e-14      -1.924823701249e-12       1.829260680645e-16       1.009793841303e-11       1.767042138639e-12      -7.019618587902e-15 
   88       3.428304876620e-10       6.953675394084e-14      -2.004838074769e-12       1.871998296264e-16       9.794406461335e-12       1.730577933410e-12      -6.920231516387e-15 
   89       3.471637826639e-10       7.145831227585e-14      -2.085815729654e-12       1.915253597139e-16       9.501351526801e-12       1.695116399379e-12      -6.834062229426e-15 
   90       3.515235643818e-10       7.338766081661e-14      -2.167709305699e-12       1.959028529460e-16       9.218582252224e-12       1.660646937798e-12      -6.760718642408e-15 
   91       3.559101937702e-10       7.532339593557e-14      -2.250469403540e-12       2.003324851621e-16       8.946115456435e-12       1.627184744463e-12      -6.699069352663e-15 
   92       3.603238764377e-10       7.726407935410e-14      -2.334045169400e-12       2.048144387269e-16       8.683867305528e-12       1.594734082355e-12      -6.647802821761e-15 
   93       3.647646546682e-10       7.920823820825e-14      -2.418384302852e-12       2.093489026691e-16       8.431649345050e-12       1.563287828807e-12      -6.605421604582e-15 
   94       3.692323994419e-10       8.115436511446e-14      -2.503433064578e-12       2.139360728199e-16       8.189164532189e-12       1.532827022673e-12      -6.570236578391e-15 
   95       3.737268024570e-10       8.310091823537e-14      -2.589136284142e-12       2.185761519520e-16       7.956003267964e-12       1.503320411505e-12      -6.540361171907e-15 
   96       3.782473681506e-10       8.504632134550e-14      -2.675437367746e-12       2.232693499184e-16       7.731639429414e-12       1.474723998717e-12      -6.513705594376e-15 
   97       3.827934057203e-10       8.698896389706e-14      -2.762278305999e-12       2.280158837907e-16       7.515426401787e-12       1.446980590755e-12      -6.487971064643e-15 
   98       3.873640211451e-10       8.892720108566e-14      -2.849599681678e-12       2.328159779984e-16       7.306593110730e-12       1.420019344274e-12      -6.460644040221e-15 
   99       3.919583367797e-10       9.085938089547e-14      -2.937341345608e-12       2.376698764482e-16       7.104417426711e-12       1.393772897517e-12      -6.429515952216e-15 
  100       3.965762028732e-10       9.278392946341e-14      -3.025444536731e-12       2.425778805429e-16       6.908782980130e-12       1.368232512040e-12      -6.394338882187e-15 
  101       4.012175724775e-10       9.469927798449e-14      -3.113850078148e-12       2.475403168305e-16       6.719694210179e-12       1.343399936454e-12      -6.355394767982e-15 
  102       4.058822777116e-10       9.660383719883e-14      -3.202497751456e-12       2.525575257839e-16       6.537104233815e-12       1.319270282336e-12      -6.312991410792e-15 
  103       4.105700245406e-10       9.849599778451e-14      -3.291326312608e-12       2.576298620849e-16       6.360913027918e-12       1.295831784538e-12      -6.267463073996e-15 
  104       4.152803875561e-10       1.003741307503e-13      -3.380273507783e-12       2.627576949082e-16       6.190965611447e-12       1.273065561506e-12      -6.219171081999e-15 
  105       4.200128047555e-10       1.022365878284e-13      -3.469276089240e-12       2.679414082052e-16       6.027050227595e-12       1.250945375588e-12      -6.168504419069e-15 
  106       4.247665723223e-10       1.040817018674e-13      -3.558269831186e-12       2.731814009883e-16       5.868896525943e-12       1.229437393345e-12      -6.115880328180e-15 
  107       4.295408394049e-10       1.059077872246e-13      -3.647189545635e-12       2.784780876146e-16       5.716173744620e-12       1.208499945867e-12      -6.061744909850e-15 
  108       4.343346028972e-10       1.077131401594e-13      -3.735969098275e-12       2.838318980699e-16       5.568488892453e-12       1.188083289083e-12      -6.006573720980e-15 
  109       4.391467022179e-10       1.094960392256e-13      -3.824541424325e-12       2.892432782527e-16       5.425384931128e-12       1.168129364073e-12      -5.950872373692e-15 
  110       4.439760258890e-10       1.112547881148e-13      -3.912839284065e-12       2.947126954596e-16       5.286441958617e-12       1.148585724222e-12      -5.895093309247e-15 
  111       4.488221725196e-10       1.129878495746e-13      -4.000797605282e-12       3.002406550299e-16       5.151599377161e-12       1.129449856673e-12      -5.839372729388e-15 
  112       4.536848650376e-10       1.146937294440e-13      -4.088351471686e-12       3.058276863725e-16       5.020871745641e-12       1.110730110886e-12      -5.783760961979e-15 
  113       4.585637433505e-10       1.163709365354e-13      -4.175435432911e-12       3.114743382862e-16       4.894248667646e-12       1.092431939540e-12      -5.728303053950e-15 
  114       4.634583612060e-10       1.180179834446e-13      -4.261983527643e-12       3.171811792945e-16       4.771693985926e-12       1.074557798076e-12      -5.673038546306e-15 
  115       4.683681830540e-10       1.196333873610e-13      -4.347929306760e-12       3.229487979812e-16       4.653144976842e-12       1.057107044244e-12      -5.618001249130e-15 
  116       4.732925809073e-10       1.212156708775e-13      -4.433205856455e-12       3.287778033249e-16       4.538511544819e-12       1.040075837642e-12      -5.563219016596e-15 
  117       4.782308312033e-10       1.227633628003e-13      -4.517745821373e-12       3.346688250346e-16       4.427675416805e-12       1.023457039265e-12      -5.508713521970e-15 
  118       4.831821116651e-10       1.242749989590e-13      -4.601481427744e-12       3.406225138845e-16       4.320489336718e-12       1.007240111048e-12      -5.454500032625e-15 
  119       4.881454981626e-10       1.257491230167e-13      -4.684344506508e-12       3.466395420490e-16       4.216776259901e-12       9.914110154076e-13      -5.400587185039e-15 
  120       4.931199615742e-10       1.271842872798e-13      -4.766266516456e-12       3.527206034383e-16       4.116328547579e-12       9.759521147884e-13      -5.346976759812e-15 
  121       4.981043646478e-10       1.285790535078e-13      -4.847178567356e-12       3.588664140326e-16       4.018907161303e-12       9.608420712073e-13      -5.293663456665e-15 
  122       5.030974588623e-10       1.299319937239e-13      -4.927011443083e-12       3.650777122183e-16       3.924240857416e-12       9.460557457962e-13      -5.240634669451e-15 
  123       5.080980352495e-10       1.312417334705e-13      -5.005696270536e-12       3.713552112587e-16       3.832083783643e-12       9.315700716726e-13      -5.187871900446e-15 
  124       5.131054031666e-10       1.325070854803e-13      -5.083166564094e-12       3.776994498142e-16       3.742397477031e-12       9.173826504757e-13      -5.135355666437e-15 
  125       5.181189608670e-10       1.337269329596e-13      -5.159356460714e-12       3.841109248015e-16       3.655188353521e-12       9.034951128661e-13      -5.083060734860e-15 
  126       5.231380445583e-10       1.349001896501e-13      -5.234200123115e-12       3.905901376775e-16       3.570450836032e-12       8.899072836462e-13      -5.030954325088e-15 
  127       5.281619264751e-10       1.360258009723e-13      -5.307631767991e-12       3.971375943981e-16       3.488167008408e-12       8.766171283013e-13      -4.978995896337e-15 
  128       5.331898129515e-10       1.371027451700e-13      -5.379585694220e-12       4.037538053769e-16       3.408306269376e-12       8.636206995410e-13      -4.927136935570e-15 
  129       5.382208424935e-10       1.381300344538e-13      -5.449996311083e-12       4.104392854429e-16       3.330824986490e-12       8.509120838400e-13      -4.875320745399e-15 
  130       5.432540838522e-10       1.391067161453e-13      -5.518798166469e-12       4.171945538001e-16       3.255666150087e-12       8.384833479797e-13      -4.823482231995e-15 
  131       5.482885340959e-10       1.400318738208e-13      -5.585925975096e-12       4.240201339850e-16       3.182759027233e-12       8.263244855891e-13      -4.771547692990e-15 
  132       5.533231166826e-10       1.409046284554e-13      -5.651314646717e-12       4.309165538257e-16       3.112018815678e-12       8.144233636861e-13      -4.719434605382e-15 
  133       5.583566795335e-10       1.417241395669e-13      -5.714899314335e-12       4.378843454003e-16       3.043346297804e-12       8.027656692187e-13      -4.667051413440e-15 
  134       5.633879931046e-10       1.424896063597e-13      -5.776615362419e-12       4.449240449953e-16       2.976627494578e-12       7.913348556059e-13      -4.614297316608e-15 
  135       5.684157484600e-10       1.432002688689e-13      -5.836398455110e-12       4.520361930642e-16       2.911733319501e-12       7.801120892792e-13      -4.561062057412e-15 
