# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.526769391237e-02       2.002057330600e+04 
       1.540961503617e-02       2.000491356711e+04 
       1.555157430661e-02       1.998775747092e+04 
       1.569357198533e-02       1.996913206138e+04 
       1.583560835612e-02       1.994907298256e+04 
       1.597768372471e-02       1.992760453051e+04 
       1.611979841861e-02       1.990475858159e+04 
       1.626195278690e-02       1.988056306989e+04 
       1.640414720020e-02       1.985504557726e+04 
       1.654638205052e-02       1.982823127032e+04 
       1.668865775120e-02       1.980015065041e+04 
       1.683097473691e-02       1.977082640662e+04 
       1.697333346354e-02       1.974028545527e+04 
       1.711573440830e-02       1.970855674565e+04 
       1.725817806968e-02       1.967565395327e+04 
       1.740066496752e-02       1.964161126334e+04 
       1.754319564307e-02       1.960645037257e+04 
       1.768577065907e-02       1.957019340444e+04 
       1.782839059988e-02       1.953286330767e+04 
       1.797105607156e-02       1.949448273506e+04 
       1.811376770207e-02       1.945507305411e+04 
       1.825652614137e-02       1.941465667411e+04 
       1.839933206167e-02       1.937325627745e+04 
       1.854218615755e-02       1.933088928314e+04 
       1.868508914623e-02       1.928757795158e+04 
       1.882804176781e-02       1.924334385189e+04 
       1.897104478548e-02       1.919820581759e+04 
       1.911409898580e-02       1.915218228778e+04 
       1.925720517901e-02       1.910529430592e+04 
       1.940036419931e-02       1.905755941336e+04 
       1.954357690519e-02       1.900899609924e+04 
       1.968684417975e-02       1.895962386739e+04 
       1.983016693109e-02       1.890946009519e+04 
       1.997354609263e-02       1.885852402769e+04 
       2.011698262353e-02       1.880682927887e+04 
       2.026047750912e-02       1.875439874560e+04 
       2.040403176127e-02       1.870124659738e+04 
       2.054764641886e-02       1.864738961440e+04 
       2.069132254824e-02       1.859284587767e+04 
       2.083506124371e-02       1.853763284759e+04 
       2.097886362800e-02       1.848176367543e+04 
       2.112273085280e-02       1.842525826692e+04 
       2.126666409929e-02       1.836813009202e+04 
       2.141066457868e-02       1.831039782127e+04 
       2.155473353281e-02       1.825207673354e+04 
       2.169887223469e-02       1.819317987871e+04 
       2.184308198920e-02       1.813372640108e+04 
       2.198736413362e-02       1.807373002764e+04 
       2.213172003837e-02       1.801320819653e+04 
       2.227615110763e-02       1.795217445662e+04 
       2.242065878006e-02       1.789064352395e+04 
       2.256524452953e-02       1.782863057722e+04 
       2.270990986584e-02       1.776615633565e+04 
       2.285465633551e-02       1.770322697369e+04 
       2.299948552257e-02       1.763986317281e+04 
       2.314439904934e-02       1.757607736742e+04 
       2.328939857733e-02       1.751188538445e+04 
       2.343448580806e-02       1.744730004272e+04 
       2.357966248400e-02       1.738233794583e+04 
       2.372493038945e-02       1.731701344267e+04 
       2.387029135151e-02       1.725133796929e+04 
       2.401574724107e-02       1.718532848747e+04 
       2.416129997382e-02       1.711899816169e+04 
       2.430695151128e-02       1.705235869334e+04 
       2.445270386188e-02       1.698542554587e+04 
       2.459855908209e-02       1.691821361807e+04 
       2.474451927753e-02       1.685073386947e+04 
       2.489058660417e-02       1.678299935737e+04 
       2.503676326952e-02       1.671502359055e+04 
       2.518305153391e-02       1.664681988854e+04 
       2.532945371179e-02       1.657840063821e+04 
       2.547597217300e-02       1.650977761278e+04 
       2.562260934423e-02       1.644096425039e+04 
       2.576936771034e-02       1.637196897834e+04 
       2.591624981590e-02       1.630280785671e+04 
       2.606325826667e-02       1.623348923993e+04 
       2.621039573111e-02       1.616402610946e+04 
       2.635766494206e-02       1.609442848729e+04 
       2.650506869833e-02       1.602470810038e+04 
       2.665260986643e-02       1.595487462004e+04 
       2.680029138234e-02       1.588493864949e+04 
       2.694811625331e-02       1.581490922138e+04 
       2.709608755975e-02       1.574479748134e+04 
       2.724420845716e-02       1.567461106110e+04 
       2.739248217811e-02       1.560436057034e+04 
       2.754091203436e-02       1.553405305967e+04 
       2.768950141894e-02       1.546370136479e+04 
       2.783825380839e-02       1.539330949616e+04 
       2.798717276503e-02       1.532288664299e+04 
       2.813626193929e-02       1.525244058792e+04 
       2.828552507219e-02       1.518198169101e+04 
       2.843496599782e-02       1.511151304350e+04 
       2.858458864595e-02       1.504104430188e+04 
       2.873439704477e-02       1.497058266392e+04 
       2.888439532357e-02       1.490013125155e+04 
       2.903458771576e-02       1.482970179783e+04 
       2.918497856172e-02       1.475929687565e+04 
       2.933557231199e-02       1.468892150773e+04 
       2.948637353041e-02       1.461858527810e+04 
       2.963738689745e-02       1.454829016456e+04 
       2.978861721366e-02       1.447804348025e+04 
       2.994006940319e-02       1.440785064171e+04 
       3.009174851749e-02       1.433771657651e+04 
       3.024365973913e-02       1.426764095069e+04 
       3.039580838579e-02       1.419763585416e+04 
       3.054819991431e-02       1.412770128653e+04 
       3.070083992499e-02       1.405784739303e+04 
       3.085373416602e-02       1.398806827953e+04 
       3.100688853805e-02       1.391837396929e+04 
       3.116030909896e-02       1.384876551289e+04 
       3.131400206883e-02       1.377925764302e+04 
       3.146797383506e-02       1.370984005900e+04 
       3.162223095773e-02       1.364052310271e+04 
