# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.759412168267e-10       6.981739832396e-15       2.292539533147e-13       4.346192964610e-17       6.923131372036e-11       7.465910729630e-12      -7.868735216874e-15 
   41       1.789204034685e-10       7.589204960890e-15       2.207029504436e-13       4.567580509742e-17       6.561840404557e-11       7.142334108340e-12      -6.744627832256e-15 
   42       1.819243030377e-10       8.229897181548e-15       2.107022715592e-13       4.794578389442e-17       6.225492030007e-11       6.840661897335e-12      -5.710978973204e-15 
   43       1.849439258271e-10       8.904243446457e-15       1.993047434305e-13       5.027191236976e-17       5.910289039314e-11       6.553511693358e-12      -5.121337242215e-15 
   44       1.879842638448e-10       9.612947475217e-15       1.864994204925e-13       5.265424973223e-17       5.615660609546e-11       6.280337946877e-12      -4.987166163318e-15 
   45       1.910530303002e-10       1.035678784898e-14       1.722582708715e-13       5.509286102944e-17       5.341235348265e-11       6.022040788559e-12      -5.206403368170e-15 
   46       1.941562327419e-10       1.113654105866e-14       1.565539534004e-13       5.758781475721e-17       5.085637430056e-11       5.778872917238e-12      -5.649704279527e-15 
   47       1.972979669794e-10       1.195298173063e-14       1.393597390673e-13       6.013918333915e-17       4.846408760593e-11       5.550383525865e-12      -6.158785043112e-15 
   48       2.004802194256e-10       1.280678941170e-14       1.206466694348e-13       6.274704008927e-17       4.620749352029e-11       5.335682682679e-12      -6.582043268339e-15 
   49       2.037026890894e-10       1.369823732549e-14       1.003742679916e-13       6.541144796892e-17       4.408166858163e-11       5.134453441204e-12      -6.897160323080e-15 
   50       2.069625613394e-10       1.462741626809e-14       7.849707548524e-14       6.813246848442e-17       4.208440179916e-11       4.946128690158e-12      -7.120212095485e-15 
   51       2.102542945142e-10       1.559431595896e-14       5.496697022508e-14       7.091016521988e-17       4.020831260542e-11       4.769556861059e-12      -7.271647433619e-15 
   52       2.135694142740e-10       1.659882049924e-14       2.973294856043e-14       7.374460413731e-17       3.844048995165e-11       4.602962203937e-12      -7.376533006348e-15 
   53       2.168995660559e-10       1.764082345568e-14       2.746973634301e-15       7.663584338225e-17       3.676644287885e-11       4.444437774882e-12      -7.460765636241e-15 
   54       2.202470673159e-10       1.872061830914e-14      -2.601620737878e-14       7.958389893263e-17       3.518397561771e-11       4.293664665951e-12      -7.538002209559e-15 
   55       2.236167103044e-10       1.983860049168e-14      -5.657416724501e-14       8.258877063977e-17       3.369225136635e-11       4.150565629191e-12      -7.619795643520e-15 
   56       2.270126739857e-10       2.099515701270e-14      -8.894238677285e-14       8.565045181282e-17       3.228761704030e-11       4.014794064295e-12      -7.719407308635e-15 
   57       2.304384549974e-10       2.219066693304e-14      -1.231342199000e-13       8.876892907881e-17       3.096342314258e-11       3.885716630238e-12      -7.851882810849e-15 
   58       2.338967986099e-10       2.342550183905e-14      -1.591608587804e-13       9.194418224276e-17       2.970984363372e-11       3.762395856915e-12      -8.034127773689e-15 
   59       2.373896520262e-10       2.469994107288e-14      -1.970286200090e-13       9.517617751630e-17       2.851652452788e-11       3.643874375843e-12      -8.278682515114e-15 
   60       2.409181684197e-10       2.601389335782e-14      -2.367301466499e-13       9.846484568523e-17       2.738165705334e-11       3.530144184004e-12      -8.573185739458e-15 
   61       2.444825818163e-10       2.736711124912e-14      -2.782510977224e-13       1.018100986155e-16       2.630469694056e-11       3.421372140498e-12      -8.896267161850e-15 
   62       2.480821179478e-10       2.875926832753e-14      -3.215725242643e-13       1.052118350816e-16       2.528363843882e-11       3.317611121009e-12      -9.223294285125e-15 
   63       2.517149259687e-10       3.018995678386e-14      -3.666707436097e-13       1.086699404016e-16       2.431493007521e-11       3.218792853821e-12      -9.526234585171e-15 
   64       2.553780101729e-10       3.165868500339e-14      -4.135172136673e-13       1.121842860728e-16       2.339339041376e-11       3.124720755824e-12      -9.773517696292e-15 
   65       2.590683746473e-10       3.316489288850e-14      -4.620855300691e-13       1.157547418261e-16       2.251360318397e-11       3.035134670739e-12      -9.937510202237e-15 
   66       2.627868923687e-10       3.470800702363e-14      -5.123744223824e-13       1.193812155764e-16       2.167463530096e-11       2.949937110786e-12      -1.001908951075e-14 
