# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.526769391237e-02       1.900804052167e+04 
       1.540961503617e-02       1.899041897658e+04 
       1.555157430661e-02       1.897137947107e+04 
       1.569357198533e-02       1.895104719742e+04 
       1.583560835612e-02       1.892936926086e+04 
       1.597768372471e-02       1.890639683897e+04 
       1.611979841861e-02       1.888214033691e+04 
       1.626195278690e-02       1.885669187312e+04 
       1.640414720020e-02       1.883000814891e+04 
       1.654638205052e-02       1.880212602500e+04 
       1.668865775120e-02       1.877313357552e+04 
       1.683097473691e-02       1.874298721678e+04 
       1.697333346354e-02       1.871170065262e+04 
       1.711573440830e-02       1.867937790131e+04 
       1.725817806968e-02       1.864597847762e+04 
       1.740066496752e-02       1.861160179988e+04 
       1.754319564307e-02       1.857614426495e+04 
       1.768577065907e-02       1.853974307025e+04 
       1.782839059988e-02       1.850235057831e+04 
       1.797105607156e-02       1.846405883772e+04 
       1.811376770207e-02       1.842479311342e+04 
       1.825652614137e-02       1.838468959911e+04 
       1.839933206167e-02       1.834365796923e+04 
       1.854218615755e-02       1.830177004952e+04 
       1.868508914623e-02       1.825904629081e+04 
       1.882804176781e-02       1.821554110844e+04 
       1.897104478548e-02       1.817124580069e+04 
       1.911409898580e-02       1.812615082706e+04 
       1.925720517901e-02       1.808029005282e+04 
       1.940036419931e-02       1.803366493209e+04 
       1.954357690519e-02       1.798635367558e+04 
       1.968684417975e-02       1.793828609462e+04 
       1.983016693109e-02       1.788956379607e+04 
       1.997354609263e-02       1.784019904879e+04 
       2.011698262353e-02       1.779015316272e+04 
       2.026047750912e-02       1.773943287812e+04 
       2.040403176127e-02       1.768814547677e+04 
       2.054764641886e-02       1.763621498700e+04 
       2.069132254824e-02       1.758371249298e+04 
       2.083506124371e-02       1.753063792719e+04 
       2.097886362800e-02       1.747700837690e+04 
       2.112273085280e-02       1.742283192028e+04 
       2.126666409929e-02       1.736811244378e+04 
       2.141066457868e-02       1.731289381821e+04 
       2.155473353281e-02       1.725714294410e+04 
       2.169887223469e-02       1.720093343490e+04 
       2.184308198920e-02       1.714425749577e+04 
       2.198736413362e-02       1.708711253022e+04 
       2.213172003837e-02       1.702950873832e+04 
       2.227615110763e-02       1.697150257287e+04 
       2.242065878006e-02       1.691307408707e+04 
       2.256524452953e-02       1.685425843061e+04 
       2.270990986584e-02       1.679503304734e+04 
       2.285465633551e-02       1.673544150530e+04 
       2.299948552257e-02       1.667548385377e+04 
       2.314439904934e-02       1.661518374528e+04 
       2.328939857733e-02       1.655450179849e+04 
       2.343448580806e-02       1.649353770409e+04 
       2.357966248400e-02       1.643225303220e+04 
       2.372493038945e-02       1.637063739097e+04 
       2.387029135151e-02       1.630874944011e+04 
       2.401574724107e-02       1.624654980853e+04 
       2.416129997382e-02       1.618413968520e+04 
       2.430695151128e-02       1.612143347286e+04 
       2.445270386188e-02       1.605851357792e+04 
       2.459855908209e-02       1.599530422964e+04 
       2.474451927753e-02       1.593190438557e+04 
       2.489058660417e-02       1.586826419521e+04 
       2.503676326952e-02       1.580446754676e+04 
       2.518305153391e-02       1.574041332015e+04 
       2.532945371179e-02       1.567619830994e+04 
       2.547597217300e-02       1.561183261280e+04 
       2.562260934423e-02       1.554727761827e+04 
       2.576936771034e-02       1.548256235189e+04 
       2.591624981590e-02       1.541770668797e+04 
       2.606325826667e-02       1.535270923411e+04 
       2.621039573111e-02       1.528757968025e+04 
       2.635766494206e-02       1.522235140911e+04 
       2.650506869833e-02       1.515696507586e+04 
       2.665260986643e-02       1.509149143459e+04 
       2.680029138234e-02       1.502595295022e+04 
       2.694811625331e-02       1.496029721435e+04 
       2.709608755975e-02       1.489459161878e+04 
       2.724420845716e-02       1.482877905945e+04 
       2.739248217811e-02       1.476293846274e+04 
       2.754091203436e-02       1.469702952317e+04 
       2.768950141894e-02       1.463107855723e+04 
       2.783825380839e-02       1.456507749605e+04 
       2.798717276503e-02       1.449903621434e+04 
       2.813626193929e-02       1.443297213508e+04 
       2.828552507219e-02       1.436693263065e+04 
       2.843496599782e-02       1.430077849691e+04 
       2.858458864595e-02       1.423470682131e+04 
       2.873439704477e-02       1.416859931257e+04 
       2.888439532357e-02       1.410251007855e+04 
       2.903458771576e-02       1.403644387717e+04 
       2.918497856172e-02       1.397036210325e+04 
       2.933557231199e-02       1.390438320566e+04 
       2.948637353041e-02       1.383837571212e+04 
       2.963738689745e-02       1.377237828169e+04 
       2.978861721366e-02       1.370647758579e+04 
       2.994006940319e-02       1.364058506518e+04 
       3.009174851749e-02       1.357480005252e+04 
       3.024365973913e-02       1.350904245545e+04 
       3.039580838579e-02       1.344338692695e+04 
       3.054819991431e-02       1.337775239218e+04 
       3.070083992499e-02       1.331217461584e+04 
       3.085373416602e-02       1.324670352401e+04 
       3.100688853805e-02       1.318130833129e+04 
       3.116030909896e-02       1.311603128546e+04 
       3.131400206883e-02       1.305083232515e+04 
       3.146797383506e-02       1.298571821252e+04 
       3.162223095773e-02       1.292073309997e+04 
       3.177678017517e-02       1.285586142901e+04 
       3.193162840970e-02       1.279109320934e+04 
       3.208678277367e-02       1.272640736310e+04 
       3.224225057573e-02       1.266188960409e+04 
       3.239803932729e-02       1.259747680175e+04 
       3.255415674933e-02       1.253318883895e+04 
       3.271061077945e-02       1.246902779877e+04 
       3.286740957923e-02       1.240502879079e+04 
       3.302456154187e-02       1.234110351818e+04 
       3.318207530021e-02       1.227738570756e+04 
       3.333995973504e-02       1.221374588393e+04 
       3.349822398379e-02       1.215030037395e+04 
       3.365687744962e-02       1.208698837482e+04 
       3.381592981088e-02       1.202385209169e+04 
       3.397539103097e-02       1.196085110124e+04 
       3.413527136875e-02       1.189797661956e+04 
       3.429558138925e-02       1.183530125519e+04 
       3.445633197505e-02       1.177279169670e+04 
       3.461753433803e-02       1.171042480243e+04 
       3.477920003175e-02       1.164824009134e+04 
       3.494134096444e-02       1.158621471773e+04 
       3.510396941249e-02       1.152437086056e+04 
       3.526709803469e-02       1.146268311772e+04 
       3.543073988712e-02       1.140116761081e+04 
