# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.758624364148e-10       6.938403049642e-15       2.294088365321e-13       0.000000000000e+00       6.923131372036e-11       7.465910729630e-12      -7.868735216874e-15 
   41       1.788382970917e-10       7.543697025932e-15       2.208699038100e-13       0.000000000000e+00       6.561840404557e-11       7.142334108340e-12      -6.744627832256e-15 
   42       1.818388340921e-10       8.182168054820e-15       2.108817282915e-13       0.000000000000e+00       6.225492030007e-11       6.840661897335e-12      -5.710978973204e-15 
   43       1.848550606792e-10       8.854243422843e-15       1.994971113904e-13       0.000000000000e+00       5.910289039314e-11       6.553511693358e-12      -5.121337242215e-15 
   44       1.878919709725e-10       9.560627276874e-15       1.867050779515e-13       0.000000000000e+00       5.615660609546e-11       6.280337946877e-12      -4.987166163318e-15 
   45       1.909572800121e-10       1.030209866563e-14       1.724775622602e-13       0.000000000000e+00       5.341235348265e-11       6.022040788559e-12      -5.206403368170e-15 
   46       1.940569971142e-10       1.107943456780e-14       1.567871849502e-13       0.000000000000e+00       5.085637430056e-11       5.778872917238e-12      -5.649704279527e-15 
   47       1.971952197899e-10       1.189341011776e-14       1.396071742900e-13       0.000000000000e+00       4.846408760593e-11       5.550383525865e-12      -6.158785043112e-15 
   48       2.003739359303e-10       1.274470544463e-14       1.209085247526e-13       0.000000000000e+00       4.620749352029e-11       5.335682682679e-12      -6.582043268339e-15 
   49       2.035928452830e-10       1.363359460899e-14       1.006507092450e-13       0.000000000000e+00       4.408166858163e-11       5.134453441204e-12      -6.897160323080e-15 
   50       2.068491335804e-10       1.456016936904e-14       7.878821353122e-14       0.000000000000e+00       4.208440179916e-11       4.946128690158e-12      -7.120212095485e-15 
   51       2.101372592800e-10       1.552442048444e-14       5.527285610249e-14       0.000000000000e+00       4.020831260542e-11       4.769556861059e-12      -7.271647433619e-15 
   52       2.134487479040e-10       1.652623317739e-14       3.005356850911e-14       0.000000000000e+00       3.844048995165e-11       4.602962203937e-12      -7.376533006348e-15 
   53       2.167752446496e-10       1.756550225677e-14       3.082245112608e-15       0.000000000000e+00       3.676644287885e-11       4.444437774882e-12      -7.460765636241e-15 
   54       2.201190671664e-10       1.864252269307e-14      -2.566643604240e-14       0.000000000000e+00       3.518397561771e-11       4.293664665951e-12      -7.538002209559e-15 
   55       2.234850079140e-10       1.975769156639e-14      -5.621012015497e-14       0.000000000000e+00       3.369225136635e-11       4.150565629191e-12      -7.619795643520e-15 
   56       2.268772459237e-10       2.091139766209e-14      -8.856436492850e-14       0.000000000000e+00       3.228761704030e-11       4.014794064295e-12      -7.719407308635e-15 
   57       2.302992777535e-10       2.210402194923e-14      -1.227426057560e-13       0.000000000000e+00       3.096342314258e-11       3.885716630238e-12      -7.851882810849e-15 
   58       2.337538484429e-10       2.333593805898e-14      -1.587561209056e-13       0.000000000000e+00       2.970984363372e-11       3.762395856915e-12      -8.034127773689e-15 
   59       2.372429051829e-10       2.460742745967e-14      -1.966113160388e-13       0.000000000000e+00       2.851652452788e-11       3.643874375843e-12      -8.278682515114e-15 
   60       2.407676025762e-10       2.591840089191e-14      -2.363009204359e-13       0.000000000000e+00       2.738165705334e-11       3.530144184004e-12      -8.573185739458e-15 
   61       2.443281765731e-10       2.726861297296e-14      -2.778106811090e-13       0.000000000000e+00       2.630469694056e-11       3.421372140498e-12      -8.896267161850e-15 
   62       2.479238549837e-10       2.865773944825e-14      -3.211217405866e-13       0.000000000000e+00       2.528363843882e-11       3.317611121009e-12      -9.223294285125e-15 
