# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.526769391237e-02       2.003676679718e+04 
       1.540961503617e-02       2.002132931550e+04 
       1.555157430661e-02       2.000439249527e+04 
       1.569357198533e-02       1.998598925394e+04 
       1.583560835612e-02       1.996614841496e+04 
       1.597768372471e-02       1.994489997016e+04 
       1.611979841861e-02       1.992227140236e+04 
       1.626195278690e-02       1.989829287818e+04 
       1.640414720020e-02       1.987299107814e+04 
       1.654638205052e-02       1.984639128020e+04 
       1.668865775120e-02       1.981852268038e+04 
       1.683097473691e-02       1.978941068505e+04 
       1.697333346354e-02       1.975908132242e+04 
       1.711573440830e-02       1.972755738132e+04 
       1.725817806968e-02       1.969486585241e+04 
       1.740066496752e-02       1.966102893079e+04 
       1.754319564307e-02       1.962607377318e+04 
       1.768577065907e-02       1.959001956730e+04 
       1.782839059988e-02       1.955289054995e+04 
       1.797105607156e-02       1.951470949676e+04 
       1.811376770207e-02       1.947549791041e+04 
       1.825652614137e-02       1.943527771360e+04 
       1.839933206167e-02       1.939407095199e+04 
       1.854218615755e-02       1.935189661770e+04 
       1.868508914623e-02       1.930877742360e+04 
       1.882804176781e-02       1.926473128231e+04 
       1.897104478548e-02       1.921977949136e+04 
       1.911409898580e-02       1.917393975105e+04 
       1.925720517901e-02       1.912723180283e+04 
       1.940036419931e-02       1.907967667954e+04 
       1.954357690519e-02       1.903129049788e+04 
       1.968684417975e-02       1.898209379590e+04 
       1.983016693109e-02       1.893210197889e+04 
       1.997354609263e-02       1.888133431088e+04 
       2.011698262353e-02       1.882980780022e+04 
       2.026047750912e-02       1.877754116346e+04 
       2.040403176127e-02       1.872454934006e+04 
       2.054764641886e-02       1.867085153436e+04 
       2.069132254824e-02       1.861646379323e+04 
       2.083506124371e-02       1.856140373900e+04 
       2.097886362800e-02       1.850568620826e+04 
       2.112273085280e-02       1.844932816297e+04 
       2.126666409929e-02       1.839234522822e+04 
       2.141066457868e-02       1.833475491025e+04 
       2.155473353281e-02       1.827657320648e+04 
       2.169887223469e-02       1.821781259433e+04 
       2.184308198920e-02       1.815849327314e+04 
       2.198736413362e-02       1.809862814840e+04 
       2.213172003837e-02       1.803823427196e+04 
       2.227615110763e-02       1.797732624725e+04 
       2.242065878006e-02       1.791591855446e+04 
       2.256524452953e-02       1.785402566057e+04 
       2.270990986584e-02       1.779166935196e+04 
       2.285465633551e-02       1.772885518631e+04 
       2.299948552257e-02       1.766560504077e+04 
