# Matter power spectrum P(k) at redshift z=0
# for k=1.06258e-05 to 4.93744 h/Mpc,
# number of wavenumbers equal to 541
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.526769391237e-02       1.978461473648e+04 
       1.540961503617e-02       1.976646803744e+04 
       1.555157430661e-02       1.974684676421e+04 
       1.569357198533e-02       1.972577831417e+04 
       1.583560835612e-02       1.970329854857e+04 
       1.597768372471e-02       1.967943208515e+04 
       1.611979841861e-02       1.965421099805e+04 
       1.626195278690e-02       1.962766343783e+04 
       1.640414720020e-02       1.959981717486e+04 
       1.654638205052e-02       1.957069756821e+04 
       1.668865775120e-02       1.954033521343e+04 
       1.683097473691e-02       1.950875296999e+04 
       1.697333346354e-02       1.947597784426e+04 
       1.711573440830e-02       1.944203882341e+04 
       1.725817806968e-02       1.940694980864e+04 
       1.740066496752e-02       1.937074491237e+04 
       1.754319564307e-02       1.933344591219e+04 
       1.768577065907e-02       1.929507499230e+04 
       1.782839059988e-02       1.925565513838e+04 
       1.797105607156e-02       1.921520903663e+04 
       1.811376770207e-02       1.917375809700e+04 
       1.825652614137e-02       1.913132475226e+04 
       1.839933206167e-02       1.908793170115e+04 
       1.854218615755e-02       1.904359645697e+04 
       1.868508914623e-02       1.899834130345e+04 
       1.882804176781e-02       1.895218784797e+04 
       1.897104478548e-02       1.890515500846e+04 
       1.911409898580e-02       1.885726132303e+04 
       1.925720517901e-02       1.880852790072e+04 
       1.940036419931e-02       1.875897241527e+04 
       1.954357690519e-02       1.870861348374e+04 
       1.968684417975e-02       1.865747073068e+04 
       1.983016693109e-02       1.860556170522e+04 
       1.997354609263e-02       1.855290580375e+04 
       2.011698262353e-02       1.849951689436e+04 
       2.026047750912e-02       1.844541798953e+04 
       2.040403176127e-02       1.839062353113e+04 
       2.054764641886e-02       1.833515053504e+04 
       2.069132254824e-02       1.827901730912e+04 
       2.083506124371e-02       1.822224155714e+04 
       2.097886362800e-02       1.816483675384e+04 
       2.112273085280e-02       1.810682301636e+04 
       2.126666409929e-02       1.804821414112e+04 
       2.141066457868e-02       1.798902903222e+04 
       2.155473353281e-02       1.792928326245e+04 
       2.169887223469e-02       1.786899020745e+04 
       2.184308198920e-02       1.780816922256e+04 
       2.198736413362e-02       1.774683433253e+04 
       2.213172003837e-02       1.768500319418e+04 
       2.227615110763e-02       1.762268962718e+04 
       2.242065878006e-02       1.755990858403e+04 
       2.256524452953e-02       1.749667544572e+04 
       2.270990986584e-02       1.743301100981e+04 
       2.285465633551e-02       1.736892177301e+04 
       2.299948552257e-02       1.730442843957e+04 
       2.314439904934e-02       1.723954359229e+04 
       2.328939857733e-02       1.717428310905e+04 
       2.343448580806e-02       1.710865988377e+04 
       2.357966248400e-02       1.704269048536e+04 
       2.372493038945e-02       1.697638923659e+04 
       2.387029135151e-02       1.690976756461e+04 
       2.401574724107e-02       1.684284227826e+04 
       2.416129997382e-02       1.677562642117e+04 
       2.430695151128e-02       1.670813156709e+04 
       2.445270386188e-02       1.664037293838e+04 
       2.459855908209e-02       1.657236516172e+04 
       2.474451927753e-02       1.650411896909e+04 
       2.489058660417e-02       1.643564711124e+04 
       2.503676326952e-02       1.636696274476e+04 
       2.518305153391e-02       1.629807880642e+04 
       2.532945371179e-02       1.622900728904e+04 
       2.547597217300e-02       1.615975955137e+04 
       2.562260934423e-02       1.609034855554e+04 
       2.576936771034e-02       1.602078233574e+04 
       2.591624981590e-02       1.595107636602e+04 
       2.606325826667e-02       1.588123856516e+04 
       2.621039573111e-02       1.581128135685e+04 
       2.635766494206e-02       1.574121425615e+04 
