# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.699452324153e-10       6.427362179050e-15       2.065903505442e-13       0.000000000000e+00       6.595371479065e-11       7.288902144837e-12      -7.222282335234e-15 
   41       1.728182460671e-10       6.986259608169e-15       1.973359272968e-13       0.000000000000e+00       6.249807576552e-11       6.978299120357e-12      -6.142399525743e-15 
   42       1.757199298621e-10       7.575514142311e-15       1.866577729931e-13       0.000000000000e+00       5.928222119336e-11       6.688561327288e-12      -5.148622265893e-15 
   43       1.786415384423e-10       8.195451079973e-15       1.746087062820e-13       0.000000000000e+00       5.626955575707e-11       6.412609361080e-12      -4.581465720233e-15 
   44       1.815877684630e-10       8.846695307714e-15       1.611800889866e-13       0.000000000000e+00       5.345449415271e-11       6.149930201186e-12      -4.452510671436e-15 
   45       1.845658455658e-10       9.529955391493e-15       1.463469039608e-13       0.000000000000e+00       5.083338537855e-11       5.901399779842e-12      -4.664260864622e-15 
   46       1.875812297218e-10       1.024594143344e-14       1.300849194292e-13       0.000000000000e+00       4.839295022110e-11       5.667272820007e-12      -5.093107799096e-15 
   47       1.906374083911e-10       1.099536554842e-14       1.123706126256e-13       0.000000000000e+00       4.610953571568e-11       5.447128927784e-12      -5.587744237613e-15 
   48       1.937358215432e-10       1.177884879235e-14       9.317844972118e-14       0.000000000000e+00       4.395621873999e-11       5.240124797747e-12      -6.003145252718e-15 
   49       1.968760943494e-10       1.259660981104e-14       7.247199709051e-14       0.000000000000e+00       4.192822425119e-11       5.045960681761e-12      -6.317540192897e-15 
   50       2.000555147091e-10       1.344868924410e-14       5.021017322338e-14       0.000000000000e+00       4.002339121826e-11       4.864093736608e-12      -6.545687912219e-15 
   51       2.032687119288e-10       1.433503141988e-14       2.634946762672e-14       0.000000000000e+00       3.823461248668e-11       4.693418350008e-12      -6.706410640707e-15 
   52       2.065074566097e-10       1.525548005922e-14       8.437295803188e-16       0.000000000000e+00       3.654948970502e-11       4.532227851042e-12      -6.822822163863e-15 
   53       2.097635962491e-10       1.620988841924e-14      -2.635030598246e-14       0.000000000000e+00       3.495411579348e-11       4.378691488530e-12      -6.918861792411e-15 
   54       2.130392089025e-10       1.719849286546e-14      -5.525428638174e-14       0.000000000000e+00       3.344635854679e-11       4.232517497938e-12      -7.007324679326e-15 
   55       2.163387116954e-10       1.822162787328e-14      -8.588252462882e-14       0.000000000000e+00       3.202539140122e-11       4.093650946985e-12      -7.099151268644e-15 
   56       2.196658865569e-10       1.927962048696e-14      -1.182472862821e-13       0.000000000000e+00       3.068769674117e-11       3.961779590556e-12      -7.206923727673e-15 
   57       2.230238115837e-10       2.037279082165e-14      -1.523587601411e-13       0.000000000000e+00       2.942689388833e-11       3.836317185651e-12      -7.344939233021e-15 
   58       2.264147924037e-10       2.150145256546e-14      -1.882250289405e-13       0.000000000000e+00       2.823356709077e-11       3.716386806335e-12      -7.529283256636e-15 
   59       2.298403712671e-10       2.266583167914e-14      -2.258493503035e-13       0.000000000000e+00       2.709779835125e-11       3.601088882305e-12      -7.771892323864e-15 
