scan_name,scan_value,worst_selected_k_1Mpc,worst_selected_k_hMpc,worst_mine_over_tobias_minus1_pct,worst_abs_mine_over_tobias_minus1_pct,best_selected_k_1Mpc,best_selected_k_hMpc,best_mine_over_tobias_minus1_pct,best_abs_mine_over_tobias_minus1_pct,mine_h,tobias_h,mine_Omega_m,tobias_Omega_m,mine_z_eq,tobias_z_eq,mine_Neff,tobias_Neff
deg_ncdm_interacting,0.2,1.0,1.4854426619132504,0.2775263240571313,0.2775263240571313,0.05,0.07427213309566252,-0.00016278212549014626,0.00016278212549014626,0.6731999999999999,0.6731999999999999,0.3146720675274221,0.3146720675274221,3073.5536738926767,nan,3.8486396442906856,3.8486396442906856
deg_ncdm_interacting,0.6,1.0,1.4854426619132504,0.26705669742674853,0.26705669742674853,0.01,0.014854426619132504,-0.0002206957873673865,0.0002206957873673865,0.6731999999999999,0.6731999999999999,0.3152405921562416,0.3152405921562416,3072.024038809433,nan,3.853918932872059,3.853918932872059
deg_ncdm_interacting,1.0,1.0,1.4854426619132504,0.25625900365495724,0.25625900365495724,0.05,0.07427213309566252,-0.00011798380031846634,0.00011798380031846634,0.6731999999999999,0.6731999999999999,0.3158091167850612,0.3158091167850612,3070.4968101543,nan,3.8591982214534313,3.8591982214534313
deg_ncdm_interacting,1.4,1.0,1.4854426619132504,0.24488045827437688,0.24488045827437688,0.2,0.2970885323826501,-0.0001140125748255727,0.0001140125748255727,0.6731999999999999,0.6731999999999999,0.31637764141388075,0.31637764141388075,3068.9719574028013,nan,3.864477510034803,3.864477510034803
deg_ncdm_interacting,1.8,1.0,1.4854426619132504,0.5306634105390229,0.5306634105390229,0.01,0.014854426619132504,-0.00015122699812408769,0.00015122699812408769,0.6731999999999999,0.6731999999999999,0.31694616604270026,0.31694616604270026,3067.449444293779,nan,3.869756798616178,3.869756798616178
deg_ncdm_interacting,2.2,1.0,1.4854426619132504,0.8759967717303807,0.8759967717303807,0.01,0.014854426619132504,-0.00017671736692870255,0.00017671736692870255,0.6731999999999999,0.6731999999999999,0.3175146906715198,0.3175146906715198,3065.9293287551213,nan,3.87503608719755,3.87503608719755
deg_ncdm_interacting,2.6,1.0,1.4854426619132504,0.8789390562741195,0.8789390562741195,0.2,0.2970885323826501,-0.00012537161097059268,0.00012537161097059268,0.6731999999999999,0.6731999999999999,0.3180832153003393,0.3180832153003393,3064.411551371939,nan,3.8803153757789226,3.8803153757789217
deg_ncdm_interacting,3.0,1.0,1.4854426619132504,0.881046344752634,0.881046344752634,0.2,0.2970885323826501,-0.00017427666506586448,0.00017427666506586448,0.6731999999999999,0.6731999999999999,0.3186517399291589,0.3186517399291589,3062.8961625418447,nan,3.8855946643602945,3.8855946643602945
deg_ncdm_interacting,3.5,1.0,1.4854426619132504,0.09416038082037392,0.09416038082037392,0.05,0.07427213309566252,8.598653833402636e-06,8.598653833402636e-06,0.6731999999999999,0.6731999999999999,0.31936239571518327,0.31936239571518327,2902.3134953691515,nan,4.346193775087013,4.346193775087013
deg_ncdm_interacting,4.0,1.0,1.4854426619132504,0.3008027341655506,0.3008027341655506,0.01,0.014854426619132504,-0.00010084689601175256,0.00010084689601175256,0.6731999999999999,0.6731999999999999,0.32007305150120763,0.32007305150120763,2744.155320805686,nan,4.852792885813727,4.852792885813727
f_idm_drmd,0.0,1.0,1.4854426619132504,-14.447787428412639,14.447787428412639,0.01,0.014854426619132504,-3.3076565760155607,3.3076565760155607,0.6731999999999999,0.6731999999999999,0.31580911678506124,0.3158091167850613,3070.4968101543,nan,3.8591982214534313,3.0591982214534306
f_idm_drmd,0.01,1.0,1.4854426619132504,0.45223867228108006,0.45223867228108006,0.05,0.07427213309566252,-7.978022711352395e-05,7.978022711352395e-05,0.6731999999999999,0.6731999999999999,0.3158091167850612,0.3158091167850612,3070.4968101543,nan,3.8591982214534313,3.8591982214534313
f_idm_drmd,0.03,1.0,1.4854426619132504,0.25625900365495724,0.25625900365495724,0.05,0.07427213309566252,-0.00011798380031846634,0.00011798380031846634,0.6731999999999999,0.6731999999999999,0.3158091167850612,0.3158091167850612,3070.4968101543,nan,3.8591982214534313,3.8591982214534313
