# l   Dl_TT   Dl_TE   Dl_EE
2.640000000000000000e+02 6.176117743714710286e+02 1.126265097246983515e+01 5.383459219141072394e-01
2.650000000000000000e+02 6.142021208189173649e+02 1.142381888314889338e+01 5.541109860196394843e-01
2.660000000000000000e+02 6.107436357566047036e+02 1.158187094597841060e+01 5.701479377829417050e-01
2.670000000000000000e+02 6.072376084548668587e+02 1.173672415522928603e+01 5.864541756804043660e-01
2.680000000000000000e+02 6.036853592580428085e+02 1.188829514755433081e+01 6.030269498359812630e-01
2.690000000000000000e+02 6.000882397867070495e+02 1.203650020587511627e+01 6.198633605110653866e-01
2.700000000000000000e+02 5.964476331399018818e+02 1.218125526326889130e+01 6.369603565943634527e-01
2.710000000000000000e+02 5.927649540973666262e+02 1.232247590685544303e+01 6.543147340917708776e-01
2.720000000000000000e+02 5.890416493217695688e+02 1.246007738168399470e+01 6.719231346162475305e-01
2.730000000000000000e+02 5.852791975609393376e+02 1.259397459462009650e+01 6.897820438776923746e-01
2.740000000000000000e+02 5.814791098500951421e+02 1.272408211823250213e+01 7.078877901728194422e-01
2.750000000000000000e+02 5.776429297140776953e+02 1.285031419468005431e+01 7.262365428750315877e-01
2.760000000000000000e+02 5.737722333695813859e+02 1.297258473959858271e+01 7.448243109242972393e-01
2.770000000000000000e+02 5.698686299273833811e+02 1.309080734598778051e+01 7.636469413170238196e-01
2.780000000000000000e+02 5.659337615945762536e+02 1.320489528809808633e+01 7.827001175959346080e-01
2.790000000000000000e+02 5.619692096966680310e+02 1.331476908622576083e+01 8.019793555974409349e-01
2.800000000000000000e+02 5.579762069384109964e+02 1.342037962692474906e+01 8.214799935567327349e-01
2.810000000000000000e+02 5.539559106295528181e+02 1.352168624819628562e+01 8.411971985480336533e-01
2.820000000000000000e+02 5.499094955795094393e+02 1.361864930190135148e+01 8.611259676736564561e-01
2.830000000000000000e+02 5.458381541549244957e+02 1.371123016926180505e+01 8.812611265496657076e-01
2.840000000000000000e+02 5.417430963372322594e+02 1.379939127636161444e+01 9.015973277915407813e-01
