# k [1/Mpc]   d_b d_idm_drmd  d_ncdm[0] 
1.975655748202515341e-02 1.947165392980463594e+03 1.951812456010460437e+03 1.951812386531303218e+03 1.426994783033125600e+02
1.989639003770522427e-02 1.966165686031022688e+03 1.970921675702130415e+03 1.970921604364196355e+03 1.427116155500383172e+02
2.003628182304151989e-02 1.985163916917200140e+03 1.990030404375511807e+03 1.990030331143538888e+03 1.427174462791386986e+02
2.017623387538613686e-02 2.004158223614014105e+03 2.009136838105531069e+03 2.009136762943876647e+03 1.427153591640988850e+02
2.031624725950990570e-02 2.023148151352558443e+03 2.028240514822392015e+03 2.028240437695031687e+03 1.427044655687083718e+02
2.045632306808332912e-02 2.042133064676586855e+03 2.047340761266156505e+03 2.047340682136680471e+03 1.426847287688030690e+02
2.059646242217591169e-02 2.061112393976996827e+03 2.066437025123705553e+03 2.066436943955315201e+03 1.426568510670101375e+02
2.073666647177411712e-02 2.080084399207527895e+03 2.085527590116640567e+03 2.085527506872166668e+03 1.426217807683228784e+02
2.087693639631827205e-02 2.099049099219685104e+03 2.104612438987605401e+03 2.104612353629468544e+03 1.425804744434406928e+02
2.101727340525871152e-02 2.118004786173537923e+03 2.123689889266577666e+03 2.123689801756833731e+03 1.425334058799079457e+02
2.115767873863153362e-02 2.136952825351630963e+03 2.142761218013623420e+03 2.142761128313926292e+03 1.424808907206006268e+02
2.129815366765434870e-02 2.155888376798898207e+03 2.161821825241927399e+03 2.161821733313545792e+03 1.424227102943137027e+02
2.143869949534235944e-02 2.174813925240755907e+03 2.180873967613577406e+03 2.180873873417394407e+03 1.423592136823801582e+02
2.157931755714525418e-02 2.193726971654052250e+03 2.199915280391537635e+03 2.199915183888027059e+03 1.422906470505654113e+02
2.172000922160532629e-02 2.212628817786318450e+03 2.218946916269744179e+03 2.218946817419013314e+03 1.422175873110339239e+02
2.186077589103731927e-02 2.231515894881298664e+03 2.237965518368867379e+03 2.237965417130610149e+03 1.421401725362052559e+02
2.200161900223043462e-02 2.250388049876377409e+03 2.256970847886434058e+03 2.256970744219964672e+03 1.420583963555385481e+02
2.214254002717313055e-02 2.269247255090578619e+03 2.275964753667507466e+03 2.275964647531729497e+03 1.419720139029285804e+02
2.228354047380116942e-02 2.288090246280981319e+03 2.294944121721763622e+03 2.294944013075188195e+03 1.418803048802047897e+02
2.242462188676956278e-02 2.306919545743042363e+03 2.313911281696983679e+03 2.313911170497726744e+03 1.417830645000700258e+02
2.256578584824898981e-02 2.325731143730723034e+03 2.332862433839905862e+03 2.332862320045673641e+03 1.416801411153839751e+02
2.270703397874736240e-02 2.344525531638345456e+03 2.351797975288560792e+03 2.351797858856674338e+03 1.415721207802388051e+02
2.284836793795720286e-02 2.363299537098452220e+03 2.370714881222962958e+03 2.370714762110322226e+03 1.414596118650848950e+02
2.298978942562952474e-02 2.382058165274307157e+03 2.389617883557206369e+03 2.389617761720322051e+03 1.413435199262374624e+02
2.313130018247499045e-02 2.400796079926258244e+03 2.408501840298984916e+03 2.408501715693957067e+03 1.412236316628954569e+02
2.327290199109310898e-02 2.419515206810953714e+03 2.427368606653246843e+03 2.427368479235747600e+03 1.410995120877208251e+02
2.341459667693028199e-02 2.438214940325373391e+03 2.446217539972486520e+03 2.446217409697812400e+03 1.409701503792272774e+02
2.355638610926756582e-02 2.456893898757997249e+03 2.465047305139223226e+03 2.465047171962232369e+03 1.408345256708202839e+02
2.369827220223901312e-02 2.475551414652396488e+03 2.483857242414145730e+03 2.483857106289306103e+03 1.406921794598264626e+02
2.384025691588158649e-02 2.494186876757556092e+03 2.502646764233993508e+03 2.502646625115327879e+03 1.405434700160621162e+02
2.398234225721747673e-02 2.512803187011409591e+03 2.521418609098965590e+03 2.521418466940113831e+03 1.403896930689210762e+02
2.412453028137008168e-02 2.531397082443005729e+03 2.540169588737766389e+03 2.540169443491919083e+03 1.402321562781180830e+02
2.426682309271441240e-02 2.549965037581291199e+03 2.558896363757135077e+03 2.558896215377080352e+03 1.400719356913412241e+02
2.440922284606329706e-02 2.568511231788898840e+03 2.577602915144718736e+03 2.577602763582807256e+03 1.399098004783776332e+02
2.455173174789039917e-02 2.587035082671788587e+03 2.596288600589715770e+03 2.596288445797873010e+03 1.397453782211856890e+02
2.469435205759126437e-02 2.605535292930462674e+03 2.614952240851395345e+03 2.614952082781136596e+03 1.395776215024964131e+02
2.483708608878373511e-02 2.624012204590199872e+03 2.633594118549037830e+03 2.633593957151411360e+03 1.394054640736356703e+02
2.497993621064897862e-02 2.642464977174199703e+03 2.652213373148048049e+03 2.652213208373691032e+03 1.392282833987201229e+02
2.512290484931454723e-02 2.660888781337489036e+03 2.670805369646196141e+03 2.670805201445311468e+03 1.390461321448875367e+02
2.526599448928091782e-02 2.679294429154986574e+03 2.689380452120421069e+03 2.689380280442764615e+03 1.388606591724360726e+02
2.540920767489297100e-02 2.697669892738717863e+03 2.707927137421884254e+03 2.707926962216745324e+03 1.386726908933299569e+02
2.555254701185803723e-02 2.716023829246425976e+03 2.726453636042927883e+03 2.726453457259179231e+03 1.384837123223229014e+02
2.569601516881211620e-02 2.734351968185919304e+03 2.744955857505223776e+03 2.744955675091281137e+03 1.382936388679131028e+02
2.583961487893600764e-02 2.752651453057966137e+03 2.763431089293073910e+03 2.763430903196884628e+03 1.381013896152678342e+02
2.598334894162314043e-02 2.770929285313408855e+03 2.781885935550467366e+03 2.781885745719525403e+03 1.379056536802885944e+02
2.612722022420096296e-02 2.789182427415828442e+03 2.800317529627368458e+03 2.800317336008707116e+03 1.377046535465300394e+02
2.627123166370790713e-02 2.807407819917843426e+03 2.818722932204732842e+03 2.818722734744929312e+03 1.374973551077767127e+02
2.641538626872788967e-02 2.825603873584975645e+03 2.837100628571450670e+03 2.837100427216597836e+03 1.372839266078620426e+02
2.655968712128459197e-02 2.843776243527898714e+03 2.855455964007511284e+03 2.855455758703217725e+03 1.370658718956509290e+02
2.670413737879769045e-02 2.861923952938344428e+03 2.873788081157957095e+03 2.873787871849356634e+03 1.368448349257823793e+02
2.684874027610344160e-02 2.880045872299112489e+03 2.892095751511687013e+03 2.892095538143441900e+03 1.366221992872883391e+02
2.699349912754202274e-02 2.898141723179097426e+03 2.910378780421924148e+03 2.910378562938189589e+03 1.363986652999163596e+02
