# l   cl_TT   cl_TE   cl_EE
2.640000000000000000e+02 7.646693850511044275e+02 9.783901262787694009e+00 3.829283294555907990e-01
2.650000000000000000e+02 7.621691822756878310e+02 9.997305122685466117e+00 3.951880871383021132e-01
2.660000000000000000e+02 7.596053168832668234e+02 1.020926203103830332e+01 4.077400772973927556e-01
2.670000000000000000e+02 7.569785864568609668e+02 1.041968437469464348e+01 4.205851286948021350e-01
2.680000000000000000e+02 7.542898135262071264e+02 1.062848350105100437e+01 4.337240000815303920e-01
2.690000000000000000e+02 7.515398457379667434e+02 1.083556971439069017e+01 4.471573793238597383e-01
2.700000000000000000e+02 7.487295560259327658e+02 1.104085227222249976e+01 4.608858825295757966e-01
2.710000000000000000e+02 7.458598427812378304e+02 1.124423938161942971e+01 4.749100531741882736e-01
2.720000000000000000e+02 7.429316300225603982e+02 1.144563819555738959e+01 4.892303612271527991e-01
2.730000000000000000e+02 7.399458675663329359e+02 1.164495480925392101e+01 5.038472022780918769e-01
2.740000000000000000e+02 7.369035311969500981e+02 1.184209425650689340e+01 5.187608966630163909e-01
2.750000000000000000e+02 7.338056228369733844e+02 1.203696050603321410e+01 5.339716885905463339e-01
2.760000000000000000e+02 7.306531707173414816e+02 1.222945645780755264e+01 5.494797452681324801e-01
2.770000000000000000e+02 7.274472295475750343e+02 1.241948393940102946e+01 5.652851560282776688e-01
2.780000000000000000e+02 7.241888806859863053e+02 1.260694370231994554e+01 5.813879314547575339e-01
2.790000000000000000e+02 7.208791836739071641e+02 1.279174211977653641e+01 5.977877700826715879e-01
2.800000000000000000e+02 7.175190277088031507e+02 1.297381167163536198e+01 6.144833469170518647e-01
2.810000000000000000e+02 7.141092728077658194e+02 1.315309151363332418e+01 6.314729863510097907e-01
2.820000000000000000e+02 7.106507978454326349e+02 1.332952087814357434e+01 6.487548900466755253e-01
2.830000000000000000e+02 7.071445006494849395e+02 1.350303908080826787e+01 6.663271357043893950e-01
